id,invert_label,lat,line,lon,name_en,name_ru,opened
0,0,55.8147128221,1,37.7344895783,Bulvar Rokossovskogo,Бульвар Рокоссовского,1990-08-01
1,1,55.8038539765,1,37.7451494327,Cherkizovskaya,Черкизовская,1990-08-01
2,0,55.7963094174,1,37.7155631753,Preobrazhenskaya Ploshchad,Преображенская площадь,1965-12-31
3,0,55.7886633921,1,37.6803327845,Sokolniki,Сокольники,1935-05-15
4,0,55.7802093647,1,37.6677521174,Krasnoselskaya,Красносельская,1935-05-15
5,0,55.7751297412,1,37.6561537605,Komsomolskaya,Комсомольская,1935-05-15
6,0,55.7688954891,1,37.6489851701,Krasnye Vorota,Красные ворота,1935-05-15
7,0,55.7656804276,1,37.6390296782,Chistye Prudy,Чистые пруды,1935-05-15
8,0,55.7597365356,1,37.6277972992,Lubyanka,Лубянка,1935-05-15
9,1,55.7576106605,1,37.6164912015,Okhotny Ryad,Охотный ряд,1935-05-15
10,0,55.7511984904,1,37.6102297544,Biblioteka Imeni Lenina,Библиотека имени Ленина,1935-05-15
11,0,55.7453359072,1,37.6038345385,Kropotkinskaya,Кропоткинская,1935-05-15
12,0,55.7354324024,1,37.5943870678,Park Kultury,Парк культуры,1935-05-15
13,0,55.726795348,1,37.5785730469,Frunzenskaya,Фрунзенская,1957-05-01
14,0,55.7232615184,1,37.5642608959,Sportivnaya,Спортивная,1957-05-01
15,1,55.7102553945,1,37.5594108537,Vorobyovy Gory,Воробьёвы горы,1959-01-12
16,1,55.6925359593,1,37.5333289386,Universitet,Университет,1959-01-12
17,1,55.6771437016,1,37.5061145583,Prospekt Vernadskogo,Проспект Вернадского,1963-12-30
18,1,55.6634944754,1,37.4832886728,Yugo-Zapadnaya,Юго-Западная,1963-12-30
19,1,55.6458525112,1,37.47268834,Troparyovo,Тропарёво,2014-12-08
20,1,55.6329001869,1,37.4418786721,Rumyantsevo,Румянцево,2016-01-18
21,1,55.6218839,1,37.4243006,Salaryevo,Саларьево,2016-02-15
22,0,55.8548609,2,37.4762048,Rechnoy Vokzal,Речной вокзал,1964-12-31
23,0,55.8400733042,2,37.4865858468,Vodny Stadion,Водный стадион,1964-12-31
24,0,55.8190609464,2,37.4978693251,Voykovskaya,Войковская,1964-12-31
25,0,55.8051896887,2,37.5151426604,Sokol,Сокол,1938-09-11
26,0,55.8003615039,2,37.5331038372,Aeroport,Аэропорт,1938-09-11
27,0,55.7896407048,2,37.5581031421,Dinamo,Динамо,1938-09-11
28,0,55.776691935,2,37.5833088985,Belorusskaya,Белорусская,1938-09-11
29,0,55.7702077805,2,37.5951327224,Mayakovskaya,Маяковская,1938-09-11
30,1,55.7647970599,2,37.6061151524,Tverskaya,Тверская,1979-07-20
31,0,55.7575105518,2,37.6190179225,Teatralnaya,Театральная,1938-09-11
32,0,55.7414547108,2,37.6290438555,Novokuznetskaya,Новокузнецкая,1943-11-20
33,0,55.7305818,2,37.6374601,Paveletskaya,Павелецкая,1943-11-20
