line,from_name,from_opened,to_name,to_opened,from
1,Cherkizovskaya,1990-08-01,Lokomotiv,2016-09-10,
1,Bulvar Rokossovskogo,1990-08-01,Bulvar Rokossovskogo,2016-09-10,
1,Sportivnaya,1957-05-01,Luzhniki,2016-09-10,
1,Okhotny Ryad,1935-05-15,Teatralnaya,1938-09-11,1944-12-30
1,Biblioteka Imeni Lenina,1935-05-15,Arbatskaya,1953-04-05,
1,Biblioteka Imeni Lenina,1935-05-15,Aleksandrovsky Sad,1935-05-15,1938-03-13
1,Biblioteka Imeni Lenina,1935-05-15,Borovitskaya,1986-01-23,
1,Komsomolskaya,1935-05-15,Komsomolskaya,1952-01-30,
1,Park Kultury,1935-05-15,Park Kultury,1950-01-01,
1,Chistye Prudy,1935-05-15,Turgenevskaya,1972-01-05,
1,Chistye Prudy,1935-05-15,Sretensky Bulvar,2007-12-29,2008-01-13
1,Lubyanka,1935-05-15,Kuznetsky Most,1975-12-17,
10,Petrovsko-Razumovskaya,2016-09-16,Petrovsko-Razumovskaya,1991-03-01,
10,Dubrovka,1999-12-11,Dubrovka,2016-10-11,
10,Sretensky Bulvar,2007-12-29,Turgenevskaya,1972-01-05,
10,Zyablikovo,2011-12-02,Krasnogvardeyskaya,1985-09-07,
10,Chkalovskaya,1995-12-28,Kurskaya,1938-03-13,
10,Chkalovskaya,1995-12-28,Kurskaya,1950-01-01,
10,Krestyanskaya Zastava,1995-12-28,Proletarskaya,1966-12-31,1997-07-23
10,Rimskaya,1995-12-28,Ploshchad Ilyicha,1979-12-30,
10,Trubnaya,2007-08-30,Tsvetnoy Bulvar,1988-12-31,
11A,Kashirskaya,1969-08-11,Kashirskaya,1969-08-11,
11A,Kakhovskaya,1969-08-11,Sevastopolskaya,1983-11-08,
12,Bittsevsky Park,2014-02-27,Novoyasenevskaya,1990-01-17,
12,Ulitsa Starokachalovskaya,2003-12-27,Bulvar Dmitriya Donskogo,2002-12-26,
13,Ulitsa Milashenkova,2004-11-20,Fonvizinskaya,2016-09-16,
13,Vystavochny Tsentr,2004-11-20,VDNKh,1958-05-01,
13,Timiryazevskaya,2004-11-20,Timiryazevskaya,1991-03-01,
14,Delovoy Tsentr,2016-09-10,Mezhdunarodnaya,2006-08-30,
14,Kutuzovskaya,2016-09-10,Kutuzovskaya,1958-11-07,
14,Ploshchad Gagarina,2016-09-10,Leninsky Prospekt,1962-10-13,
14,Vladykino,2016-09-10,Vladykino,1991-03-01,
14,Baltiyskaya,2016-09-10,Voykovskaya,1964-12-31,
14,Avtozavodskaya,2016-09-10,Avtozavodskaya,1943-01-01,
14,Izmaylovo,2016-09-10,Partizanskaya,1944-01-18,
14,Botanichesky Sad,2016-09-10,Botanichesky Sad,1978-09-30,
14,Khoroshyovo,2016-09-10,Polezhayevskaya,1972-12-30,
14,Panfilovskaya,2016-11-08,Oktyabrskoye Pole,1972-12-30,
14,Shosse Entuziastov,2016-09-10,Shosse Entuziastov,1979-12-30,
2,Teatralnaya,1938-09-11,Ploshchad Revolyutsii,1938-03-13,1946-05-09
2,Belorusskaya,1938-09-11,Belorusskaya,1952-01-30,
2,Paveletskaya,1943-11-20,Paveletskaya,1950-01-01,1955-07-30
2,Novokuznetskaya,1943-11-20,Tretyakovskaya,1971-01-03,
2,Novokuznetskaya,1943-11-20,Tretyakovskaya,1986-01-25,
2,Tverskaya,1979-07-20,Pushkinskaya,1975-12-17,
2,Tverskaya,1979-07-20,Chekhovskaya,1987-12-31,
3,Kuntsevskaya,2008-01-07,Kuntsevskaya,1965-08-31,
3,Arbatskaya,1953-04-05,Aleksandrovsky Sad,1935-05-15,
3,Arbatskaya,1953-04-05,Borovitskaya,1986-01-23,
3,Kiyevskaya,1953-04-05,Kiyevskaya,1937-03-20,
3,Kiyevskaya,1953-04-05,Kiyevskaya,1954-03-14,
3,Kurskaya,1938-03-13,Kurskaya,1950-01-01,
4,Kiyevskaya,1937-03-20,Kiyevskaya,1954-03-14,
4,Vystavochnaya,2005-09-10,Delovoy Tsentr,2014-01-31,
5,Prospekt Mira,1952-01-30,Prospekt Mira,1958-05-01,
5,Oktyabrskaya,1950-01-01,Oktyabrskaya,1962-10-13,
5,Krasnopresnenskaya,1954-03-14,Barrikadnaya,1972-12-30,
5,Taganskaya,1950-01-01,Taganskaya,1966-12-31,
5,Taganskaya,1950-01-01,Marksistskaya,1979-12-30,
5,Novoslobodskaya,1952-01-30,Mendeleyevskaya,1988-12-31,
5,Dobryninskaya,1950-01-01,Serpukhovskaya,1983-11-08,
6,Kitay-gorod,1971-01-03,Kitay-gorod,1971-01-04,
6,Tretyakovskaya,1971-01-03,Tretyakovskaya,1986-01-25,
7,Pushkinskaya,1975-12-17,Chekhovskaya,1987-12-31,
7,Taganskaya,1966-12-31,Marksistskaya,1979-12-30,
3,Park Pobedy,2003-05-06,Park Pobedy,2014-01-31,
