name_en,opened,from,to,type,value
Aleksandrovsky Sad,1935-05-15,1935-05-15,1938-03-13,line,1
Aleksandrovsky Sad,1935-05-15,1935-05-15,1946-12-24,name,Коминтерн
Aleksandrovsky Sad,1935-05-15,1938-03-13,1953-04-05,line,3
Aleksandrovsky Sad,1935-05-15,1946-12-24,1990-11-05,name,Калининская
Aleksandrovsky Sad,1935-05-15,1953-04-05,1959-01-01,visible,false
Alekseyevskaya,1958-05-01,1958-05-01,1966-10-26,name,Мир
Alekseyevskaya,1958-05-01,1966-10-26,1990-11-05,name,Щербаковская
Arbatskaya,1935-05-15,1935-05-15,1938-03-13,line,1
Arbatskaya,1935-05-15,1938-03-13,1953-04-05,line,3
Arbatskaya,1935-05-15,1953-04-05,1959-01-01,visible,false
Avtozavodskaya,1943-01-01,1943-01-01,1956-07-05,name,Завод имени Сталина
Bulvar Rokossovskogo,1990-08-01,1990-08-01,2014-07-08,name,Улица Подбельского
Chistye Prudy,1935-05-15,1935-05-15,1990-11-05,name,Кировская
Dobryninskaya,1950-01-01,1950-01-01,1961-06-06,name,Серпуховская
Izmaylovskaya,1961-10-21,1961-10-21,1963-08-20,name,Измайловский парк
Kakhovskaya,1969-08-11,1969-08-11,1995-10-20,line,2
Kashirskaya,1969-08-12,1969-08-12,1995-10-20,line,2
Kitay-gorod,1971-01-03,1971-01-03,1990-11-05,name,Площадь Ногина
Kitay-gorod,1971-01-04,1971-01-04,1990-11-05,name,Площадь Ногина
Kiyevskaya,1937-03-20,1937-03-20,1938-03-13,line,1
Kiyevskaya,1937-03-20,1938-03-13,1953-04-05,line,3
Kiyevskaya,1937-03-20,1953-04-05,1958-11-07,visible,false
Krasnye Vorota,1935-05-15,1962-05-29,1986-08-25,name,Лермонтовская
Kropotkinskaya,1935-05-15,1935-05-15,1957-10-08,name,Дворец Советов
Krylatskoye,1989-12-31,1989-12-31,2008-01-01,line,4
Kuntsevskaya,1965-08-31,1965-07-01,1965-08-31,present,true
Lubyanka,1935-05-15,1935-05-15,1990-11-05,name,Дзержинская
Molodyozhnaya,1965-07-05,1965-07-05,2008-01-01,line,4
Novokuznetskaya,1943-11-20,1943-01-01,1943-11-20,present,true
Novoyasenevskaya,1990-01-17,1990-01-17,2008-06-03,name,Битцевский парк
Okhotny Ryad,1935-05-15,1955-11-25,1957-09-01,name,Имени Кагановича
Okhotny Ryad,1935-05-15,1961-11-30,1990-11-05,name,Проспект Маркса
Oktyabrskaya,1950-01-01,1950-01-01,1961-06-06,name,Калужская
Partizanskaya,1944-01-18,1944-01-18,1947-09-01,name,Измайловский парк культуры и отдыха имени Сталина
Partizanskaya,1944-01-18,1947-09-01,1963-08-20,name,Измайловская
Partizanskaya,1944-01-18,1963-08-20,2005-05-03,name,Измайловский парк
Paveletskaya,1943-11-20,1943-01-01,1943-11-20,present,true
PervomayskayaClosed,1954-09-24,1961-10-21,2017-04-01,visible,false
Prospekt Mira,1952-01-30,1952-01-30,1966-06-20,name,Ботанический сад
Prospekt Mira,1958-05-01,1958-05-01,1966-06-20,name,Ботанический сад
Semyonovskaya,1944-01-18,1944-01-18,1961-11-30,name,Сталинская
Smolenskaya,1935-05-15,1935-05-15,1938-03-13,line,1
Smolenskaya,1935-05-15,1938-03-13,1953-04-05,line,3
Smolenskaya,1935-05-15,1953-04-05,1959-01-01,visible,false
Sukharevskaya,1972-01-05,1972-01-05,1990-11-05,name,Колхозная
Teatralnaya,1938-09-11,1938-09-11,1990-11-05,name,Площадь Свердлова
Tretyakovskaya,1971-01-03,1971-01-03,1983-06-04,name,Новокузнецкая
Tsaritsyno,1984-12-30,1984-12-30,1990-11-05,name,Ленино
Tverskaya,1979-07-20,1979-07-20,1990-11-05,name,Горьковская
Varshavskaya,1969-08-11,1969-08-11,1995-10-20,line,2
VDNKh,1958-05-01,1958-05-01,1959-12-12,name,ВСХВ
Vorobyovy Gory,1959-01-12,1959-01-12,2002-12-14,name,Ленинские горы
Vorobyovy Gory,1959-01-12,1983-10-20,2002-12-14,present,true
Vykhino,1966-12-31,1966-12-31,1989-01-13,name,Ждановская
Vystavochnaya,2005-09-10,2005-09-10,2008-06-03,name,Деловой центр
